bird_id,gps_tag,capture_date,capture_time,lat,long,age,Tag_ID,Deploy_ID
GY02215,Argos PTT,10/02/2022,11:18:00,-7.250352,72.451638,Immature Basic 2,229276,1
GY02216,Argos PTT,10/02/2022,12:07:00,-7.247698,72.45145,Immature Basic 1,229275,1
