Species,Population,Trip_duration_mean,Trip_duration_se,Total_distance_mean,Total_distance_se,Max_distance_mean,Max_distance_se
RFB,DG,558.3555555555556,115.50095002548734,163140.179750528,50834.190528917534,59178.70573135385,22734.714071569
RFB,NI,244.30416666666667,95.17253420688718,87198.88964832327,33208.88582753642,34396.179867366336,12980.455122303094
