Date Time	Fix	Lat1(N)	Long1(E)	Lat2(N)	Long2(E)	MsgCount	Frequency	Average TI	Satellite	Max Str	Swapped
2022-02-07 12:50:36	0	 -7.246	  72.290	 -7.295	  72.536	  4	674278.8		1	-124	1
2022-02-07 12:55:48	1	 -7.258	  72.361	 -7.258	  72.361	  4	674281.9	 70.0	R	-126	
2022-02-08 04:12:53	0	 -7.289	  72.343	 -7.289	  72.343	  4	674139.8	 74.0	C	-121	
2022-02-08 04:50:17	B	 -7.254	  72.232	 -7.254	  72.232	  1	674096.5		N	-129	
2022-02-08 05:00:22	B	 -7.264	  72.257	 -7.264	  72.257	  1	674114.3		B	-133	
2022-02-08 12:26:33	2	 -7.262	  72.371	 -7.262	  72.371	  4	674185.6	 69.7	R	-131	
2022-02-08 12:35:50	B	 -7.261	  72.371	 -7.261	  72.371	  2	674190.0	 70.0	1	-129	
2022-02-10 06:04:45	2	 -7.248	  72.453	 -7.248	  72.453	  6	674244.4	 72.8	N	-128	
2022-02-10 12:05:55	2	 -7.225	  72.418	 -7.225	  72.418	  4	674231.6	 70.0	1	-137	
2022-02-10 13:03:49	0	 -7.230	  72.440	 -7.230	  72.440	  5	674236.8	 70.0	R	-124	
2022-02-10 13:37:06	B	 -7.228	  72.441	 -7.228	  72.441	  1	674238.8		K	-133	
2022-02-10 13:37:58	3	 -7.228	  72.420	 -7.228	  72.420	  4	674238.6	 70.0	1	-133	
2022-02-10 14:41:39	B	 -7.229	  72.417	 -7.229	  72.417	  2	674240.2	140.0	R	-136	
2022-02-10 15:01:35	3	 -7.225	  72.420	 -7.225	  72.420	  9	674240.7	 70.4	P	-127	
2022-02-10 15:16:15	3	 -7.226	  72.420	 -7.226	  72.420	  7	674241.2	 70.3	K	-130	
2022-02-10 16:04:56	3	 -7.225	  72.421	 -7.225	  72.421	  7	674242.6	 70.5	C	-124	
2022-02-10 16:49:37	B	 -7.224	  72.422	 -7.224	  72.422	  2	674243.3	141.0	B	-129	
2022-02-10 17:01:24	3	 -7.226	  72.416	 -7.226	  72.416	  5	674243.4	 70.8	N	-128	
2022-02-10 17:45:38	0	 -7.211	  72.422	 -7.211	  72.422	  6	674237.4	 71.0	C	-123	
2022-02-11 12:28:39	2	 -7.224	  72.414	 -7.224	  72.414	  5	674208.4	 69.8	R	-133	
2022-02-11 13:23:32	1	 -7.232	  72.422	 -7.232	  72.422	  6	674224.0	 69.4	1	-132	
2022-02-11 14:11:57	A	 -7.236	  72.427	 -7.236	  72.427	  3	674229.1	 69.5	R	-133	
2022-02-11 14:49:50	3	 -7.228	  72.412	 -7.228	  72.412	  6	674233.6	 70.0	P	-126	
2022-02-11 14:53:11	2	 -7.229	  72.408	 -7.229	  72.408	  8	674233.1	 70.0	K	-125	
2022-02-11 15:44:39	B	 -7.224	  72.407	 -7.224	  72.407	  1	674231.9		C	-133	
2022-02-11 16:29:05	B	 -7.220	  72.403	 -7.220	  72.403	  1	674233.1		P	-137	
2022-02-11 16:32:36	A	 -7.226	  72.405	 -7.226	  72.405	  3	674234.5	 70.0	K	-133	
2022-02-11 16:53:06	3	 -7.227	  72.405	 -7.227	  72.405	  4	674234.0	 70.3	N	-129	
2022-02-11 17:23:31	3	 -7.229	  72.411	 -7.229	  72.411	  7	674241.0	 70.3	C	-121	
2022-02-12 00:58:51	0	 -7.226	  72.400	 -7.226	  72.400	  5	674238.6	 70.9	R	-123	
2022-02-12 01:10:50	3	 -7.240	  72.396	 -7.240	  72.396	  6	674254.0	 70.8	1	-126	
2022-02-12 01:56:37	1	 -7.374	  72.247	 -7.374	  72.247	  9	674241.4	 71.1	K	-124	
2022-02-12 02:03:17	0	 -7.384	  72.278	 -7.384	  72.278	  6	674249.5	 71.3	P	-126	
2022-02-12 02:38:50	A	 -7.538	  72.120	 -7.538	  72.120	  3	674204.9	 71.3	R	-133	
2022-02-12 03:31:17	B	 -7.786	  72.007	 -7.786	  72.007	  2	674152.4	 70.0	K	-124	
2022-02-12 03:36:30	0	 -7.728	  72.114	 -7.728	  72.114	  5	674207.5	 71.2	P	-129	
2022-02-12 04:04:01	B	 -7.790	  72.079	 -7.790	  72.079	  1	674205.4		N	-135	
2022-02-12 04:31:46	0	 -7.951	  71.973	 -7.951	  71.973	  9	674215.7	 69.9	C	-114	
2022-02-12 05:18:40	A	 -8.095	  72.080	 -8.095	  72.080	  3	674215.8	 69.0	B	-126	
2022-02-12 05:33:39	2	 -8.081	  72.006	 -8.081	  72.006	  9	674238.8	 69.2	N	-123	
2022-02-13 00:28:08	2	 -9.342	  72.925	 -5.106	  91.845	  9	674248.4	 69.4	R	-129	
2022-02-13 00:57:01	1	 -9.407	  72.915	 -9.407	  72.915	  7	674249.9	 69.5	1	-125	
2022-02-13 01:33:29	0	 -9.490	  73.039	 -9.490	  73.039	  6	674276.2	 69.8	K	-128	
2022-02-13 01:52:40	1	 -9.572	  72.956	 -9.572	  72.956	  8	674253.6	 69.9	P	-123	
2022-02-13 02:07:15	1	 -9.689	  72.957	 -9.689	  72.957	  8	674249.1	 70.0	R	-123	
2022-02-13 03:12:32	2	 -9.559	  73.128	 -9.559	  73.128	  7	674242.8	 69.9	K	-125	
2022-02-13 03:25:54	1	 -9.546	  73.129	 -9.546	  73.129	  6	674246.8	 69.7	P	-130	
2022-02-13 03:50:05	1	 -9.550	  73.076	 -9.550	  73.076	  4	674244.2	 69.8	N	-133	
2022-02-13 04:12:18	1	 -9.571	  73.081	 -9.571	  73.081	  8	674240.7	 69.8	C	-121	
2022-02-13 04:58:32	1	 -9.506	  73.037	 -9.506	  73.037	  5	674249.5	 70.0	B	-129	
2022-02-13 05:25:18	1	 -9.488	  73.054	 -9.488	  73.054	 10	674246.2	 69.8	N	-120	
2022-02-13 05:48:35	0	 -9.495	  73.047	 -9.495	  73.047	  5	674237.9	 69.8	C	-125	
2022-02-13 11:30:30	0	 -9.319	  72.800	 -9.319	  72.800	  5	674264.5	 69.8	R	-129	
2022-02-14 12:39:18	0	-11.732	  72.738	-12.500	  76.633	  5	674242.2	 69.8	1	-124	
2022-02-14 12:40:07	0	-11.737	  72.737	-11.737	  72.737	  8	674234.2	 69.9	R	-123	
2022-02-14 14:19:49	B	-11.679	  72.720	-11.679	  72.720	  2	674160.5	 71.0	R	-136	
2022-02-14 14:20:24	0	-11.596	  72.481	-11.596	  72.481	  4	674236.8	 75.5	P	-131	
2022-02-14 15:14:29	1	-11.416	  72.352	-11.416	  72.352	 11	674231.1	 70.4	K	-124	
2022-02-14 15:56:08	1	-11.402	  72.343	-11.402	  72.343	  8	674230.3	 70.4	P	-130	
2022-02-14 16:17:52	B	-11.401	  72.343	-11.401	  72.343	  1	674234.2		N	-135	
2022-02-14 16:22:34	2	-11.408	  72.326	-11.408	  72.326	  6	674239.0	 70.4	C	-121	
2022-02-14 17:13:14	B	-11.364	  72.293	-11.364	  72.293	  2	674198.0	 71.0	B	-131	
2022-02-14 17:57:35	1	-11.238	  72.160	-11.238	  72.160	  5	674233.1	 70.8	N	-126	
2022-02-14 17:59:21	2	-11.241	  72.152	-11.241	  72.152	  5	674233.8	 71.0	C	-128	
2022-02-15 12:26:27	A	-11.906	  72.135	-11.906	  72.135	  3	674221.7	 69.5	1	-125	
2022-02-15 13:41:06	2	-11.896	  72.221	-11.896	  72.221	  9	674231.5	 69.7	R	-129	
2022-02-15 13:56:47	A	-11.889	  72.220	-11.889	  72.220	  3	674242.0	 69.5	1	-137	
2022-02-15 14:01:06	3	-11.897	  72.218	-11.897	  72.218	  7	674233.6	 69.8	P	-128	
2022-02-15 14:50:28	1	-11.893	  72.225	-11.893	  72.225	  9	674233.6	 69.8	K	-121	
2022-02-15 15:40:34	0	-11.878	  72.145	-11.878	  72.145	  8	674238.1	 70.0	P	-127	
2022-02-15 15:57:43	2	-11.860	  72.114	-11.860	  72.114	  6	674236.7	 70.2	C	-122	
2022-02-15 16:46:03	B	-11.893	  72.099	-11.893	  72.099	  2	674247.2	140.0	B	-126	
2022-02-15 17:39:59	2	-11.910	  71.998	-11.910	  71.998	  9	674236.4	 70.4	C	-119	
2022-02-15 17:42:19	3	-11.908	  71.996	-11.908	  71.996	  9	674235.6	 70.4	N	-124	
2022-02-16 00:09:19	B	-11.845	  71.715	-11.845	  71.715	  2	674263.0	141.0	1	-138	
2022-02-16 00:32:22	3	-11.811	  71.739	-11.811	  71.739	  5	674242.4	 70.5	R	-129	
2022-02-16 01:13:22	B	-11.822	  71.713	-11.822	  71.713	  2	674263.6	213.0	P	-137	
2022-02-16 01:43:12	0	-11.944	  71.638	-11.944	  71.638	  5	674252.8	 70.6	1	-133	
2022-02-16 01:56:24	1	-11.980	  71.731	-11.980	  71.731	  6	674243.8	 70.8	K	-125	
2022-02-16 02:12:58	1	-11.995	  71.642	-11.995	  71.642	  5	674214.5	 71.0	R	-129	
2022-02-16 02:49:28	1	-12.097	  71.726	-12.097	  71.726	  8	674235.5	 70.9	P	-122	
2022-02-16 03:36:10	1	-12.100	  71.722	-12.100	  71.722	  5	674232.2	 71.0	K	-132	
2022-02-16 03:50:21	B	-12.089	  71.729	-12.089	  71.729	  2	674235.3	213.0	B	-135	
2022-02-16 04:47:56	2	-12.038	  71.937	-12.038	  71.937	  9	674220.2	 70.0	C	-116	
2022-02-16 04:54:22	1	-12.041	  71.926	-12.041	  71.926	  5	674211.2	 70.0	N	-127	
2022-02-16 05:31:50	B	-12.040	  71.975	-12.040	  71.975	  1	674127.7		B	-131	
2022-02-16 23:54:57	0	-10.960	  72.933	-10.960	  72.933	  6	674244.9	 69.8	1	-131	
2022-02-17 00:04:15	0	-10.912	  72.936	-10.912	  72.936	  4	674228.4	 69.7	R	-125	
2022-02-17 01:02:11	0	-10.805	  73.050	-10.805	  73.050	  4	674231.6	 69.8	P	-136	
2022-02-17 01:28:13	0	-10.719	  73.136	-10.719	  73.136	  6	674242.9	 70.0	K	-127	
2022-02-17 01:30:21	B	-10.713	  73.150	-10.713	  73.150	  2	674243.1	 70.0	1	-132	
2022-02-17 01:43:28	0	-10.647	  73.105	-10.647	  73.105	  5	674241.8	 70.1	R	-124	
2022-02-17 02:43:18	1	-10.403	  73.164	-10.403	  73.164	  8	674235.6	 70.6	P	-124	
