BirdID,Sex,Age,DateGMT,TimeGMT,Latitude,Longitude
GY02216,unknown,Immature Basic 1,2022-02-18,15:07:21,-7.376,72.491
GY02216,unknown,Immature Basic 1,2022-02-18,15:15:31,-7.379,72.483
GY02216,unknown,Immature Basic 1,2022-02-18,16:37:24,-7.38,72.471
GY02216,unknown,Immature Basic 1,2022-02-18,17:06:25,-7.378,72.478
GY02216,unknown,Immature Basic 1,2022-02-18,18:18:14,-7.38,72.482
GY02216,unknown,Immature Basic 1,2022-02-19,12:55:09,-7.272,72.472
GY02216,unknown,Immature Basic 1,2022-02-19,13:13:29,-7.27,72.457
GY02216,unknown,Immature Basic 1,2022-02-19,14:51:19,-7.271,72.472
GY02216,unknown,Immature Basic 1,2022-02-19,14:54:50,-7.272,72.468
GY02216,unknown,Immature Basic 1,2022-02-19,16:18:54,-7.273,72.464
GY02216,unknown,Immature Basic 1,2022-02-19,16:57:05,-7.274,72.458
GY02216,unknown,Immature Basic 1,2022-02-19,17:05:49,-7.281,72.452
GY02216,unknown,Immature Basic 1,2022-02-19,17:59:57,-7.277,72.466
GY02216,unknown,Immature Basic 1,2022-02-20,00:10:56,-7.273,72.466
GY02216,unknown,Immature Basic 1,2022-02-20,00:44:31,-7.273,72.464
GY02216,unknown,Immature Basic 1,2022-02-20,01:50:16,-7.135,72.661
GY02216,unknown,Immature Basic 1,2022-02-20,01:54:09,-7.117,72.692
GY02216,unknown,Immature Basic 1,2022-02-20,02:06:56,-7.065,72.756
GY02216,unknown,Immature Basic 1,2022-02-20,03:22:21,-7.065,73.134
GY02216,unknown,Immature Basic 1,2022-02-20,03:41:53,-6.832,73.15
GY02216,unknown,Immature Basic 1,2022-02-20,05:04:12,-6.613,73.642
GY02216,unknown,Immature Basic 1,2022-02-20,05:40:47,-6.585,73.859
GY02216,unknown,Immature Basic 1,2022-02-21,01:19:19,-6.61,74.249
GY02216,unknown,Immature Basic 1,2022-02-21,01:59:43,-6.551,74.217
GY02216,unknown,Immature Basic 1,2022-02-21,03:02:38,-6.497,74.277
GY02216,unknown,Immature Basic 1,2022-02-21,03:35:38,-6.496,74.522
GY02216,unknown,Immature Basic 1,2022-02-21,04:43:23,-6.512,74.285
GY02216,unknown,Immature Basic 1,2022-02-21,05:34:15,-6.518,74.318
GY02216,unknown,Immature Basic 1,2022-02-22,16:58:30,-6.958,73.892
GY02215,unknown,Immature Basic 2,2022-02-10,12:05:55,-7.225,72.418
GY02215,unknown,Immature Basic 2,2022-02-10,13:03:49,-7.23,72.44
GY02215,unknown,Immature Basic 2,2022-02-10,13:37:06,-7.228,72.441
GY02215,unknown,Immature Basic 2,2022-02-10,14:41:39,-7.229,72.417
GY02215,unknown,Immature Basic 2,2022-02-10,15:01:35,-7.225,72.42
GY02215,unknown,Immature Basic 2,2022-02-10,15:16:15,-7.226,72.42
GY02215,unknown,Immature Basic 2,2022-02-10,16:04:56,-7.225,72.421
GY02215,unknown,Immature Basic 2,2022-02-10,16:49:37,-7.224,72.422
GY02215,unknown,Immature Basic 2,2022-02-10,17:01:24,-7.226,72.416
GY02215,unknown,Immature Basic 2,2022-02-10,17:45:38,-7.211,72.422
GY02215,unknown,Immature Basic 2,2022-02-11,12:28:39,-7.224,72.414
GY02215,unknown,Immature Basic 2,2022-02-11,13:23:32,-7.232,72.422
GY02215,unknown,Immature Basic 2,2022-02-11,14:11:57,-7.236,72.427
GY02215,unknown,Immature Basic 2,2022-02-11,14:49:50,-7.228,72.412
GY02215,unknown,Immature Basic 2,2022-02-11,14:53:11,-7.229,72.408
GY02215,unknown,Immature Basic 2,2022-02-11,15:44:39,-7.224,72.407
GY02215,unknown,Immature Basic 2,2022-02-11,16:29:05,-7.22,72.403
GY02215,unknown,Immature Basic 2,2022-02-11,16:32:36,-7.226,72.405
GY02215,unknown,Immature Basic 2,2022-02-11,16:53:06,-7.227,72.405
GY02215,unknown,Immature Basic 2,2022-02-11,17:23:31,-7.229,72.411
GY02215,unknown,Immature Basic 2,2022-02-12,00:58:51,-7.226,72.4
GY02215,unknown,Immature Basic 2,2022-02-12,01:10:50,-7.24,72.396
GY02215,unknown,Immature Basic 2,2022-02-12,01:56:37,-7.374,72.247
GY02215,unknown,Immature Basic 2,2022-02-12,02:03:17,-7.384,72.278
GY02215,unknown,Immature Basic 2,2022-02-12,02:38:50,-7.538,72.12
GY02215,unknown,Immature Basic 2,2022-02-12,03:31:17,-7.786,72.007
GY02215,unknown,Immature Basic 2,2022-02-12,04:04:01,-7.79,72.079
GY02215,unknown,Immature Basic 2,2022-02-12,04:31:46,-7.951,71.973
GY02215,unknown,Immature Basic 2,2022-02-12,05:18:40,-8.095,72.08
GY02215,unknown,Immature Basic 2,2022-02-12,05:33:39,-8.081,72.006
GY02215,unknown,Immature Basic 2,2022-02-13,00:28:08,-9.342,72.925
GY02215,unknown,Immature Basic 2,2022-02-13,00:57:01,-9.407,72.915
GY02215,unknown,Immature Basic 2,2022-02-13,01:33:29,-9.49,73.039
GY02215,unknown,Immature Basic 2,2022-02-13,01:52:40,-9.572,72.956
GY02215,unknown,Immature Basic 2,2022-02-13,02:07:15,-9.689,72.957
GY02215,unknown,Immature Basic 2,2022-02-13,03:12:32,-9.559,73.128
GY02215,unknown,Immature Basic 2,2022-02-13,03:25:54,-9.546,73.129
GY02215,unknown,Immature Basic 2,2022-02-13,03:50:05,-9.55,73.076
GY02215,unknown,Immature Basic 2,2022-02-13,04:12:18,-9.571,73.081
GY02215,unknown,Immature Basic 2,2022-02-13,04:58:32,-9.506,73.037
GY02215,unknown,Immature Basic 2,2022-02-13,05:25:18,-9.488,73.054
GY02215,unknown,Immature Basic 2,2022-02-13,05:48:35,-9.495,73.047
GY02215,unknown,Immature Basic 2,2022-02-13,11:30:30,-9.319,72.8
GY02215,unknown,Immature Basic 2,2022-02-18,11:37:31,-8.255,72.368
GY02215,unknown,Immature Basic 2,2022-02-18,12:10:57,-8.157,72.365
GY02215,unknown,Immature Basic 2,2022-02-18,13:09:53,-7.846,72.301
GY02215,unknown,Immature Basic 2,2022-02-18,13:28:29,-7.806,72.315
GY02215,unknown,Immature Basic 2,2022-02-18,13:36:28,-7.805,72.294
GY02215,unknown,Immature Basic 2,2022-02-18,15:08:06,-7.289,72.372
GY02215,unknown,Immature Basic 2,2022-02-18,15:15:39,-7.256,72.402
GY02215,unknown,Immature Basic 2,2022-02-18,16:37:56,-7.22,72.43
GY02215,unknown,Immature Basic 2,2022-02-18,17:07:10,-7.228,72.41
GY02215,unknown,Immature Basic 2,2022-02-19,12:55:45,-7.248,72.457
GY02215,unknown,Immature Basic 2,2022-02-19,13:21:30,-7.25,72.453
GY02215,unknown,Immature Basic 2,2022-02-19,14:50:35,-7.249,72.458
GY02215,unknown,Immature Basic 2,2022-02-19,14:54:28,-7.25,72.455
GY02215,unknown,Immature Basic 2,2022-02-19,16:19:25,-7.251,72.449
GY02215,unknown,Immature Basic 2,2022-02-19,17:00:45,-7.25,72.45
GY02215,unknown,Immature Basic 2,2022-02-19,18:00:01,-7.22,72.468
GY02215,unknown,Immature Basic 2,2022-02-20,00:11:28,-7.25,72.451
GY02215,unknown,Immature Basic 2,2022-02-20,00:45:44,-7.251,72.452
GY02215,unknown,Immature Basic 2,2022-02-20,01:50:28,-7.116,72.642
GY02215,unknown,Immature Basic 2,2022-02-20,02:06:55,-7.044,72.743
GY02215,unknown,Immature Basic 2,2022-02-20,03:21:56,-6.903,73.008
GY02215,unknown,Immature Basic 2,2022-02-20,04:07:28,-6.646,73.194
GY02215,unknown,Immature Basic 2,2022-02-20,05:04:17,-6.635,73.154
GY02215,unknown,Immature Basic 2,2022-02-20,05:46:37,-6.546,73.265
GY02215,unknown,Immature Basic 2,2022-02-20,23:40:33,-5.959,74.249
GY02215,unknown,Immature Basic 2,2022-02-21,00:29:44,-6.006,74.223
GY02215,unknown,Immature Basic 2,2022-02-21,01:18:14,-5.936,74.246
GY02215,unknown,Immature Basic 2,2022-02-21,01:27:22,-5.909,74.256
GY02215,unknown,Immature Basic 2,2022-02-21,01:57:11,-5.758,74.315
GY02215,unknown,Immature Basic 2,2022-02-21,03:01:08,-5.677,74.475
GY02215,unknown,Immature Basic 2,2022-02-21,03:30:12,-5.782,74.318
GY02215,unknown,Immature Basic 2,2022-02-21,04:44:26,-5.646,74.201
GY02215,unknown,Immature Basic 2,2022-02-21,05:33:52,-5.385,74.185
GY02215,unknown,Immature Basic 2,2022-02-21,12:16:54,-5.679,74.587
GY02215,unknown,Immature Basic 2,2022-02-21,12:23:09,-5.678,74.586
GY02215,unknown,Immature Basic 2,2022-02-22,11:49:33,-6.722,73.668
GY02215,unknown,Immature Basic 2,2022-02-22,12:11:33,-6.737,73.594
GY02215,unknown,Immature Basic 2,2022-02-22,13:42:01,-7.204,72.797
GY02215,unknown,Immature Basic 2,2022-02-22,14:20:48,-7.284,72.548
GY02215,unknown,Immature Basic 2,2022-02-22,15:13:40,-7.249,72.455
GY02215,unknown,Immature Basic 2,2022-02-22,16:00:32,-7.259,72.453
GY02215,unknown,Immature Basic 2,2022-02-22,16:06:47,-7.259,72.453
GY02215,unknown,Immature Basic 2,2022-02-22,16:23:43,-7.246,72.45
GY02215,unknown,Immature Basic 2,2022-02-22,16:55:04,-7.247,72.453
GY02215,unknown,Immature Basic 2,2022-02-22,17:42:15,-7.254,72.421
GY02215,unknown,Immature Basic 2,2022-02-22,18:00:28,-7.247,72.452
GY02215,unknown,Immature Basic 2,2022-02-23,12:55:49,-7.247,72.432
GY02215,unknown,Immature Basic 2,2022-02-23,13:27:08,-7.264,72.424
GY02215,unknown,Immature Basic 2,2022-02-23,14:10:20,-7.25,72.449
GY02215,unknown,Immature Basic 2,2022-02-23,14:48:08,-7.249,72.456
GY02215,unknown,Immature Basic 2,2022-02-23,15:53:11,-7.257,72.422
GY02215,unknown,Immature Basic 2,2022-02-23,16:33:19,-7.252,72.446
GY02215,unknown,Immature Basic 2,2022-02-23,17:47:25,-7.256,72.444
GY02215,unknown,Immature Basic 2,2022-02-23,23:47:29,-7.241,72.445
GY02215,unknown,Immature Basic 2,2022-02-24,01:14:56,-7.176,72.585
GY02215,unknown,Immature Basic 2,2022-02-24,01:51:21,-7.093,72.756
GY02215,unknown,Immature Basic 2,2022-02-24,02:55:46,-6.921,72.921
GY02215,unknown,Immature Basic 2,2022-02-24,03:34:24,-6.903,72.877
GY02215,unknown,Immature Basic 2,2022-02-24,03:41:42,-6.917,72.863
GY02215,unknown,Immature Basic 2,2022-02-24,04:29:55,-6.947,72.841
GY02215,unknown,Immature Basic 2,2022-02-24,05:00:22,-6.936,72.829
GY02215,unknown,Immature Basic 2,2022-02-24,05:21:55,-6.965,72.882
GY02215,unknown,Immature Basic 2,2022-02-25,00:50:35,-7.246,72.437
GY02215,unknown,Immature Basic 2,2022-02-25,01:02:42,-7.233,72.508
GY02215,unknown,Immature Basic 2,2022-02-25,01:07:54,-7.234,72.507
GY02215,unknown,Immature Basic 2,2022-02-25,01:24:54,-7.225,72.54
GY02215,unknown,Immature Basic 2,2022-02-25,02:33:04,-7.145,72.556
GY02215,unknown,Immature Basic 2,2022-02-25,03:10:02,-6.902,72.582
GY02215,unknown,Immature Basic 2,2022-02-25,03:19:39,-6.854,72.55
GY02215,unknown,Immature Basic 2,2022-02-25,04:10:47,-6.904,72.558
GY02215,unknown,Immature Basic 2,2022-02-25,04:49:04,-6.931,72.543
GY02215,unknown,Immature Basic 2,2022-02-25,05:01:22,-6.913,72.537
GY02215,unknown,Immature Basic 2,2022-02-25,11:51:43,-6.852,72.585
GY02215,unknown,Immature Basic 2,2022-02-26,11:22:58,-6.516,72.063
GY02215,unknown,Immature Basic 2,2022-02-26,12:43:18,-7.219,72.458
GY02215,unknown,Immature Basic 2,2022-02-26,12:54:53,-7.261,72.499
GY02215,unknown,Immature Basic 2,2022-02-26,15:14:10,-7.249,72.452
GY02215,unknown,Immature Basic 2,2022-02-26,15:14:45,-7.249,72.453
GY02215,unknown,Immature Basic 2,2022-02-26,17:12:39,-7.253,72.444
