Species,Population,ID,TripID,Tripstart,Tripend,Completetrip,Trip_duration,Total_distance,Max_distance,Distal_lon,Distal_lat,CPLon,CPLat,Distal_bearing,Speed_mean,Speed_se,Straightness_outbound,Straightness_inbound
SAP,Robben,01_2011R,01_2011R_1,2011-05-18T05:54:04Z,2011-05-18T16:43:22Z,Complete,649.3,58552.88866809274,14257.5291353414,18.36259,-33.9056883,18.37551667,-33.79986667,186.96447720708872,1.5770341085925441,0.047757989019968666,0.420492686053767,0.5784887382843268
SAP,Robben,01_2012R,01_2012R_1,2012-04-20T07:16:13Z,2012-04-20T15:38:23Z,Complete,502.166666666667,35442.17698812194,9833.29718561425,18.436025,-33.8509283,18.3739333,-33.7987333,130.05079662949277,1.5198013523172786,0.09018969164904975,0.9502921990733296,0.39185037081921154
SAP,Robben,01_2013R,01_2013R_1,2013-05-08T05:16:26Z,2013-05-08T19:19:02Z,Complete,842.6,62209.216798913585,19205.045819268,18.3103083,-33.9276133,18.37,-33.7932,203.9455631258808,1.1388959193880903,0.043182479039760295,0.5496347184118024,0.7043136706354194
