Species,Population,Segment_duration_mean,Segment_duration_se,Total_distance_mean,Total_distance_se,N_Segments_total,N_Segments_perInd_mean,N_Segments_perInd_se
GWFG,Islay,51707.04583333334,113.03861683184948,4976841.270496314,1097.9777222265711,3,1.5,0.5946035575013605
GWFG,Wexf,33878.875,60.82579332431958,3405639.685956508,438.5261047099034,5,2.5,0.5946035575013605
