Species,ID,NoPoints,NoUniqueDates,FirstDate,LastDate,SampleRate,SampleRate_se
RFB,GY02215,122,13,2022-02-10,2022-02-26,145.61734972677596,1.6214590782499425
RFB,GY02216,108,13,2022-02-10,2022-02-22,160.1175925925926,1.848751030460531
