Species,Population,ID,SegmentID,Segment_start,Segment_end,Segment_duration,Total_distance
RFB,DG,GV37501,GV37501_1,2016-06-25T11:01:04Z,2016-06-29T03:29:31Z,5308.45,628839.4269044854
RFB,DG,GV37503,GV37503_1,2016-06-26T03:02:02Z,2016-06-27T12:09:45Z,1987.71666666667,139320.27196388404
RFB,DG,GV37503,GV37503_2,2016-06-27T13:20:12Z,2016-06-29T02:58:55Z,2258.71666666667,84654.09180073683
RFB,DG,GV37503,GV37503_3,2016-06-29T03:39:07Z,2016-06-30T05:54:13Z,1575.1,79899.7844161739
RFB,DG,GV37503,GV37503_5,2016-06-30T07:28:47Z,2016-07-01T01:54:20Z,1105.55,71812.50604202
RFB,NI,GV37734,GV37734_1,2018-07-08T04:22:11Z,2018-07-11T03:02:51Z,4240.66666666667,311894.806489163
