Species,Population,ID,SegmentID,Segment_start,Segment_end,Segment_duration,Total_distance
GWFG,Islay,17806,17806_1,2019-03-29T13:05:22Z,2019-04-08T07:41:44Z,14076.3666666667,885508.3579391382
GWFG,Islay,17806,17806_2,2019-04-08T13:22:48Z,2019-05-15T11:59:39Z,53196.85,5658349.498632024
GWFG,Islay,17824,17824_1,2019-03-28T01:00:41Z,2019-05-15T11:58:10Z,69777.4833333333,6681753.612707048
GWFG,Wexf,17766,17766_1,2019-03-16T13:07:12Z,2019-03-30T06:23:23Z,19756.1833333333,1757775.9641549229
GWFG,Wexf,17766,17766_2,2019-03-30T08:43:11Z,2019-03-31T16:03:22Z,1880.18333333333,1485081.9004340512
GWFG,Wexf,17766,17766_3,2019-03-31T19:18:22Z,2019-05-15T11:01:48Z,64303.4333333333,6158179.56283141
GWFG,Wexf,17769,17769_1,2018-03-22T01:10:47Z,2018-04-24T00:22:59Z,47472.2,4359263.8789779665
GWFG,Wexf,17769,17769_2,2018-04-24T02:38:28Z,2018-05-15T11:08:34Z,30750.1,2995936.5799011434
