Species,Population,NoInds,NoPoints_total,FirstDate,LastDate,PointsPerBird,PointsPerBird_se,DatesPerBird,DatesPerBird_se,SampleRate_mean,SampleRate_se
GWFG,Islay,2,2271,2019-03-28,2019-05-15,1135.5,3.8073204507007583,48.5,0.5946035575013605,60.188618709947704,0.3629071953179093
GWFG,Wexf,2,2722,2018-03-22,2019-05-15,1361,7.035444170985818,58,1.4564753151219703,60.189058142856084,0.1089555958066522
