Species,Population,ID,NoPoints,NoUniqueDates,FirstDate,LastDate,SampleRate,SampleRate_se
SAP,Robben,01_2011R,1555,2,2011-05-18,2011-05-19,1.1564094319399785,0.023038202116384247
SAP,Robben,01_2012R,430,1,2012-04-20,2012-04-20,2.2972093023255815,0.1634684429189455
SAP,Robben,01_2013R,527,1,2013-05-08,2013-05-08,1.875079063883618,0.1092746338935693
