"Date","Time","Lon","Lat"
"08.05.2013","06:35:01",18.3798267,-33.8068033
"08.05.2013","06:36:09",18.3798567,-33.8068117
"08.05.2013","06:37:13",18.380055,-33.8071
"08.05.2013","06:38:21",18.3802117,-33.8072067
"08.05.2013","06:39:23",18.38004,-33.8070917
"08.05.2013","06:40:28",18.3801717,-33.8070633
"08.05.2013","06:41:33",18.380275,-33.8071967
"08.05.2013","06:42:36",18.38055,-33.80761
"08.05.2013","06:43:42",18.3805767,-33.8073733
"08.05.2013","06:44:46",18.380425,-33.80756
"08.05.2013","06:45:57",18.3806133,-33.8076433
"08.05.2013","06:47:04",18.3806067,-33.8078483
"08.05.2013","06:48:07",18.3809367,-33.8079
"08.05.2013","06:49:11",18.3804883,-33.8080033
"08.05.2013","06:50:14",18.3805017,-33.8083267
"08.05.2013","06:51:22",18.38102,-33.80843
"08.05.2013","06:52:30",18.3811183,-33.8085583
"08.05.2013","06:53:35",18.38122,-33.8083117
"08.05.2013","06:54:37",18.380325,-33.8090333
"08.05.2013","06:55:41",18.38164,-33.808955
"08.05.2013","06:56:49",18.3815683,-33.8090767
"08.05.2013","06:57:54",18.3816067,-33.80905
"08.05.2013","06:59:01",18.3816183,-33.8091117
"08.05.2013","07:00:07",18.381455,-33.8092133
"08.05.2013","07:01:14",18.381445,-33.8092833
"08.05.2013","07:02:20",18.38167,-33.80924
"08.05.2013","07:03:25",18.380585,-33.8103167
"08.05.2013","07:04:29",18.3798383,-33.8086067
"08.05.2013","07:05:34",18.3813517,-33.8096117
"08.05.2013","07:06:38",18.3815383,-33.809675
"08.05.2013","07:07:47",18.381475,-33.809705
"08.05.2013","07:08:52",18.38143,-33.8097917
"08.05.2013","07:09:59",18.3815317,-33.8098417
"08.05.2013","07:11:03",18.381745,-33.8098917
"08.05.2013","07:12:07",18.381575,-33.80983
"08.05.2013","07:13:12",18.3813,-33.8101367
"08.05.2013","07:14:16",18.3812533,-33.8101017
"08.05.2013","07:15:19",18.3815317,-33.81027
"08.05.2013","07:16:22",18.3816017,-33.8098117
"08.05.2013","07:17:27",18.3814333,-33.8099667
"08.05.2013","07:18:32",18.3814767,-33.809815
"08.05.2013","07:19:40",18.3814833,-33.80999
"08.05.2013","07:20:47",18.3814517,-33.81006
"08.05.2013","07:21:50",18.3818383,-33.8102367
"08.05.2013","07:22:58",18.3816867,-33.8102167
"08.05.2013","07:24:07",18.3819633,-33.8109083
"08.05.2013","07:25:39",18.3822133,-33.8116467
"08.05.2013","07:26:57",18.383195,-33.812025
"08.05.2013","08:10:55",18.4099517,-33.8456683
"08.05.2013","08:12:24",18.4103333,-33.8466
"08.05.2013","08:15:42",18.4105517,-33.8491983
"08.05.2013","08:17:18",18.4114083,-33.8503567
"08.05.2013","08:18:40",18.4113133,-33.8514317
