"Date","Time","Lon","Lat"
"20.04.2012","05:45:25",18.374005,-33.7966817
"20.04.2012","05:46:34",18.3740167,-33.7966967
"20.04.2012","05:47:41",18.373635,-33.7965417
"20.04.2012","05:48:51",18.3735217,-33.7963033
"20.04.2012","05:49:54",18.374085,-33.79637
"20.04.2012","05:51:07",18.3738583,-33.7960883
"20.04.2012","05:52:25",18.3741733,-33.7959733
"20.04.2012","05:53:34",18.37391,-33.7960233
"20.04.2012","05:54:42",18.3736617,-33.7960617
"20.04.2012","05:55:51",18.373455,-33.7960733
"20.04.2012","05:56:58",18.373625,-33.79615
"20.04.2012","05:58:01",18.3738817,-33.7963717
"20.04.2012","05:59:04",18.3731167,-33.7961783
"20.04.2012","06:00:10",18.3739217,-33.7960417
"20.04.2012","06:01:35",18.374175,-33.7958483
"20.04.2012","06:02:43",18.37376,-33.796
"20.04.2012","06:03:51",18.3736167,-33.7960883
"20.04.2012","06:05:05",18.3735467,-33.7961733
"20.04.2012","06:06:14",18.373925,-33.796055
"20.04.2012","06:07:24",18.3744383,-33.7959617
"20.04.2012","06:08:33",18.3733367,-33.7961083
"20.04.2012","06:09:47",18.3736617,-33.7961833
"20.04.2012","06:10:55",18.373605,-33.79601
"20.04.2012","06:12:02",18.3738017,-33.7960367
"20.04.2012","06:13:09",18.3741183,-33.796155
"20.04.2012","06:14:14",18.374005,-33.7960333
"20.04.2012","06:15:18",18.3715433,-33.7964317
"20.04.2012","06:16:27",18.3736,-33.7960167
"20.04.2012","06:17:33",18.37388,-33.7959883
"20.04.2012","06:18:36",18.3738567,-33.7959817
"20.04.2012","06:19:39",18.3730033,-33.7963633
"20.04.2012","06:20:44",18.3736717,-33.7959933
"20.04.2012","06:21:53",18.37367,-33.79594
"20.04.2012","06:23:02",18.3742267,-33.79606
"20.04.2012","06:24:09",18.3738817,-33.79608
"20.04.2012","06:25:15",18.3732867,-33.7961183
"20.04.2012","06:26:22",18.3737333,-33.796015
"20.04.2012","06:27:30",18.3737867,-33.7960567
"20.04.2012","06:28:39",18.373805,-33.7959567
"20.04.2012","06:29:52",18.3737717,-33.7962867
"20.04.2012","06:31:05",18.3724517,-33.79578
"20.04.2012","06:32:12",18.3727083,-33.79567
"20.04.2012","06:33:44",18.37264,-33.7956867
"20.04.2012","06:34:52",18.37221,-33.7957383
"20.04.2012","06:36:00",18.3737517,-33.7960967
"20.04.2012","06:37:08",18.3736767,-33.79588
"20.04.2012","06:38:16",18.37367,-33.7958017
"20.04.2012","06:39:28",18.3739917,-33.79554
"20.04.2012","06:40:34",18.37376,-33.7951183
"20.04.2012","06:42:11",18.3736583,-33.794365
"20.04.2012","06:43:22",18.3740083,-33.794395
"20.04.2012","06:44:27",18.3737433,-33.7945583
"20.04.2012","06:45:34",18.3736417,-33.794345
"20.04.2012","06:46:42",18.3738483,-33.7945783
"20.04.2012","06:47:50",18.373945,-33.79435
"20.04.2012","06:49:01",18.3741483,-33.794025
"20.04.2012","06:50:10",18.3740033,-33.7939333
"20.04.2012","06:51:22",18.3737217,-33.7940233
"20.04.2012","06:52:31",18.373535,-33.7940217
"20.04.2012","06:53:39",18.3738183,-33.7938167
"20.04.2012","06:54:46",18.37403,-33.793655
"20.04.2012","06:55:55",18.3740667,-33.793705
"20.04.2012","06:57:00",18.3739733,-33.7934583
"20.04.2012","06:58:07",18.3736333,-33.7934183
"20.04.2012","06:59:18",18.3747417,-33.793585
"20.04.2012","07:00:23",18.3740867,-33.793485
"20.04.2012","07:01:31",18.3735067,-33.793395
"20.04.2012","07:02:38",18.3735617,-33.7932217
"20.04.2012","07:03:48",18.3733867,-33.7935783
"20.04.2012","07:05:46",18.374165,-33.793565
"20.04.2012","07:06:17",18.37423,-33.7934783
"20.04.2012","07:07:31",18.3734683,-33.7936233
"20.04.2012","07:08:36",18.3733933,-33.7935683
"20.04.2012","07:09:43",18.3747533,-33.7936433
"20.04.2012","07:10:50",18.3749867,-33.7937733
"20.04.2012","07:11:59",18.375885,-33.7935867
"20.04.2012","07:13:32",18.37471,-33.7937333
"20.04.2012","07:14:48",18.3756217,-33.79316
"20.04.2012","07:16:13",18.3755883,-33.79277
"20.04.2012","11:00:20",18.436025,-33.8509283
"20.04.2012","11:01:52",18.4354683,-33.85107
