"device_ID","longitude","latitude","timestamp","day","month","year","hour","date","day_ID","julian_date","net_sqrd_displacement","step_length"
17769,-6.38525,52.375698,2018-03-23 12:10:46,23,3,2018,12,2018-03-23,"2018-03-23_17769",17613,0.00189745997799974,0.0685079953486167
17769,-6.384245,52.375725,2018-03-23 13:12:04,23,3,2018,13,2018-03-23,"2018-03-23_17769",17613,0.00184874778399994,0.146291952863251
17769,-6.382349,52.375107,2018-03-23 14:10:47,23,3,2018,14,2018-03-23,"2018-03-23_17769",17613,0.00171562598799972,0.00433251296139735
17769,-6.38238,52.375141,2018-03-23 15:11:19,23,3,2018,15,2018-03-23,"2018-03-23_17769",17613,0.00171939284499972,0.152205931004072
17769,-6.384507,52.375561,2018-03-23 16:10:49,23,3,2018,16,2018-03-23,"2018-03-23_17769",17613,0.00185022571599959,0.117492900721289
17769,-6.383355,52.374775,2018-03-23 17:10:47,23,3,2018,17,2018-03-23,"2018-03-23_17769",17613,0.00173961654399972,0.0595840028154693
17769,-6.3827,52.37513,2018-03-23 18:10:45,23,3,2018,18,2018-03-23,"2018-03-23_17769",17613,0.00173333391399965,4.13416122779811
17769,-6.359677,52.340755,2018-03-23 19:10:48,23,3,2018,19,2018-03-23,"2018-03-23_17769",17613,6.96999999989148e-08,0.0097499111677007
17769,-6.359694,52.340668,2018-03-23 20:10:48,23,3,2018,20,2018-03-23,"2018-03-23_17769",17613,3.9537999999203e-08,0.10089872678574
17769,-6.358255,52.340881,2018-03-23 21:10:46,23,3,2018,21,2018-03-23,"2018-03-23_17769",17613,1.85530000000085e-06,0.00381182028529637
17769,-6.358282,52.340851,2018-03-23 22:11:10,23,3,2018,22,2018-03-23,"2018-03-23_17769",17613,1.76412099999866e-06,0.0200257755554
17769,-6.358161,52.341015,2018-03-23 23:10:46,23,3,2018,23,2018-03-23,"2018-03-23_17769",17613,2.22683599999596e-06,0.0630070209538558
17769,-6.3581,52.34045,2018-03-24 00:10:48,24,3,2018,0,2018-03-24,"2018-03-24_17769",17614,2.1563140000005e-06,0.0021057744093171
17769,-6.358072,52.340458,2018-03-24 01:11:10,24,3,2018,1,2018-03-24,"2018-03-24_17769",17614,2.23827400000134e-06,0.00529699019642558
17769,-6.358052,52.340412,2018-03-24 02:10:46,24,3,2018,2,2018-03-24,"2018-03-24_17769",17614,2.30583400000173e-06,0.00399456796150965
17769,-6.358097,52.340435,2018-03-24 03:10:48,24,3,2018,3,2018-03-24,"2018-03-24_17769",17614,2.16730000000155e-06,0.553952455548509
17769,-6.365819,52.338882,2018-03-24 04:10:46,24,3,2018,4,2018-03-24,"2018-03-24_17769",17614,4.17541930000164e-05,0.0068218352042753
17769,-6.365829,52.338943,2018-03-24 05:10:46,24,3,2018,5,2018-03-24,"2018-03-24_17769",17614,4.16838280000038e-05,3.676645469467
