BirdID,Age,BreedStage,DateGMT,TimeGMT,Latitude,Longitude,TrackID,Sex,Equinox,ArgosQuality
GV37734,Adult,chick-rearing,2018-07-08,04:22:11,-5.681348,72.317474,GV37501,unknown,NA,NA
GV37734,Adult,chick-rearing,2018-07-08,04:27:13,-5.681334,72.317497,GV37501,unknown,NA,NA
GV37734,Adult,chick-rearing,2018-07-08,04:32:18,-5.681368,72.31752,GV37501,unknown,NA,NA
GV37734,Adult,chick-rearing,2018-07-08,04:37:30,-5.681303,72.317528,GV37501,unknown,NA,NA
GV37734,Adult,chick-rearing,2018-07-08,04:42:32,-5.681158,72.317368,GV37501,unknown,NA,NA
GV37734,Adult,chick-rearing,2018-07-08,04:47:34,-5.681136,72.316269,GV37501,unknown,NA,NA
GV37734,Adult,chick-rearing,2018-07-08,04:52:38,-5.681122,72.31646,GV37501,unknown,NA,NA
GV37734,Adult,chick-rearing,2018-07-08,04:57:41,-5.672321,72.324333,GV37501,unknown,NA,NA
GV37734,Adult,chick-rearing,2018-07-08,05:02:51,-5.681648,72.31736,GV37501,unknown,NA,NA
GV37734,Adult,chick-rearing,2018-07-08,05:08:26,-5.681528,72.312279,GV37501,unknown,NA,NA
GV37734,Adult,chick-rearing,2018-07-08,05:13:27,-5.681514,72.312286,GV37501,unknown,NA,NA
GV37734,Adult,chick-rearing,2018-07-08,05:18:29,-5.673895,72.325836,GV37501,unknown,NA,NA
GV37734,Adult,chick-rearing,2018-07-08,05:23:31,-5.68122,72.316566,GV37501,unknown,NA,NA
GV37734,Adult,chick-rearing,2018-07-08,05:28:32,-5.681223,72.316544,GV37501,unknown,NA,NA
GV37734,Adult,chick-rearing,2018-07-08,05:33:33,-5.681207,72.316566,GV37501,unknown,NA,NA
GV37734,Adult,chick-rearing,2018-07-08,05:38:34,-5.681211,72.316559,GV37501,unknown,NA,NA
GV37734,Adult,chick-rearing,2018-07-08,05:43:35,-5.681205,72.316551,GV37501,unknown,NA,NA
GV37734,Adult,chick-rearing,2018-07-08,05:48:36,-5.681217,72.316566,GV37501,unknown,NA,NA
GV37734,Adult,chick-rearing,2018-07-08,05:53:37,-5.681212,72.316544,GV37501,unknown,NA,NA
GV37734,Adult,chick-rearing,2018-07-08,05:58:38,-5.681203,72.316544,GV37501,unknown,NA,NA
GV37734,Adult,chick-rearing,2018-07-08,06:03:43,-5.68121,72.316536,GV37501,unknown,NA,NA
GV37734,Adult,chick-rearing,2018-07-08,06:08:45,-5.681242,72.316536,GV37501,unknown,NA,NA
GV37734,Adult,chick-rearing,2018-07-08,06:13:47,-5.681229,72.316544,GV37501,unknown,NA,NA
GV37734,Adult,chick-rearing,2018-07-08,06:18:50,-5.681203,72.316536,GV37501,unknown,NA,NA
GV37734,Adult,chick-rearing,2018-07-08,06:23:53,-5.681224,72.316551,GV37501,unknown,NA,NA
GV37734,Adult,chick-rearing,2018-07-08,06:28:56,-5.681244,72.316528,GV37501,unknown,NA,NA
GV37734,Adult,chick-rearing,2018-07-08,06:33:59,-5.681222,72.316551,GV37501,unknown,NA,NA
GV37734,Adult,chick-rearing,2018-07-08,06:39:03,-5.681226,72.316551,GV37501,unknown,NA,NA
GV37734,Adult,chick-rearing,2018-07-08,06:44:07,-5.681208,72.316544,GV37501,unknown,NA,NA
