BirdID,Sex,Age,BreedStage,TrackID,DateGMT,TimeGMT,Latitude,Longitude
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,07:31:17,-6.164925,73.036247
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,07:36:21,-6.164378,73.036209
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,07:41:31,-6.165661,73.03965
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,07:46:36,-6.164973,73.039604
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,07:51:40,-6.164355,73.039627
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,07:56:45,-6.163922,73.039543
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,08:01:53,-6.162876,73.040161
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,08:06:56,-6.175317,73.056526
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,08:11:59,-6.182927,73.061806
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,08:17:04,-6.182527,73.061806
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,08:22:09,-6.182189,73.061714
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,08:27:14,-6.181858,73.061768
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,08:32:21,-6.181434,73.061897
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,08:37:28,-6.180871,73.06234
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,08:42:31,-6.20369,73.050835
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,08:47:34,-6.229034,73.035431
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,08:52:37,-6.253384,73.020096
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,08:57:40,-6.275308,73.000793
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,09:02:48,-6.295619,72.982002
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,09:07:52,-6.317509,72.960678
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,09:12:57,-6.334192,72.93573
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,09:18:01,-6.352026,72.911552
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,09:23:06,-6.373168,72.890465
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,09:28:11,-6.394809,72.870537
