BirdID,Sex,Age,BreedStage,TrackID,DateGMT,TimeGMT,Latitude,Longitude
GV37734,unknown,Adult,Chick rearing,GV37734_3,2018-07-09,04:59:23,-5.301567,72.659843
GV37734,unknown,Adult,Chick rearing,GV37734_3,2018-07-09,05:05:39,-5.283429,72.6614
GV37734,unknown,Adult,Chick rearing,GV37734_3,2018-07-09,05:13:42,-5.276658,72.654572
GV37734,unknown,Adult,Chick rearing,GV37734_3,2018-07-09,05:22:07,-5.275335,72.656639
GV37734,unknown,Adult,Chick rearing,GV37734_3,2018-07-09,05:28:49,-5.30181,72.64637
GV37734,unknown,Adult,Chick rearing,GV37734_3,2018-07-09,05:34:00,-5.32815,72.631012
GV37734,unknown,Adult,Chick rearing,GV37734_3,2018-07-09,05:39:10,-5.354997,72.617409
GV37734,unknown,Adult,Chick rearing,GV37734_3,2018-07-09,05:44:20,-5.384332,72.61071
GV37734,unknown,Adult,Chick rearing,GV37734_3,2018-07-09,05:49:32,-5.412922,72.605507
GV37734,unknown,Adult,Chick rearing,GV37734_3,2018-07-09,05:54:44,-5.442255,72.603958
GV37734,unknown,Adult,Chick rearing,GV37734_3,2018-07-09,05:59:56,-5.470789,72.605301
GV37734,unknown,Adult,Chick rearing,GV37734_3,2018-07-09,06:05:10,-5.49384,72.609665
GV37734,unknown,Adult,Chick rearing,GV37734_3,2018-07-09,06:10:23,-5.510738,72.608086
GV37734,unknown,Adult,Chick rearing,GV37734_3,2018-07-09,06:15:36,-5.528811,72.57621
GV37734,unknown,Adult,Chick rearing,GV37734_3,2018-07-09,06:20:48,-5.540927,72.558701
GV37734,unknown,Adult,Chick rearing,GV37734_3,2018-07-09,06:26:17,-5.552833,72.535881
GV37734,unknown,Adult,Chick rearing,GV37734_3,2018-07-09,06:31:45,-5.548949,72.52961
GV37734,unknown,Adult,Chick rearing,GV37734_3,2018-07-09,06:38:08,-5.553051,72.528336
GV37734,unknown,Adult,Chick rearing,GV37734_3,2018-07-09,06:45:08,-5.559694,72.522446
GV37734,unknown,Adult,Chick rearing,GV37734_3,2018-07-09,06:52:44,-5.558796,72.514435
GV37734,unknown,Adult,Chick rearing,GV37734_3,2018-07-09,07:00:42,-5.563806,72.518654
GV37734,unknown,Adult,Chick rearing,GV37734_3,2018-07-09,07:08:56,-5.574162,72.517349
GV37734,unknown,Adult,Chick rearing,GV37734_3,2018-07-09,07:17:31,-5.583605,72.515533
GV37734,unknown,Adult,Chick rearing,GV37734_3,2018-07-09,07:26:49,-5.584356,72.515144
GV37734,unknown,Adult,Chick rearing,GV37734_3,2018-07-09,07:36:56,-5.576028,72.522491
GV37734,unknown,Adult,Chick rearing,GV37734_3,2018-07-09,07:48:05,-5.569242,72.524109
