id,date_dd_mm_yyyy,time_hh_mm_ss,latitude_decimal_degrees,longitude_decimal_degrees
TrinPetrel_X102,12/04/2011,00:52:00,-25.16654792,76.74217015
TrinPetrel_X102,12/04/2011,12:42:00,-24.63881874,77.40710819
TrinPetrel_X102,13/04/2011,00:52:00,-23.99711889,77.29775499
TrinPetrel_X102,13/04/2011,12:41:59,-23.04919835,77.40497753
TrinPetrel_X102,14/04/2011,00:51:59,-22.2446671,77.19252242
TrinPetrel_X102,14/04/2011,12:51:59,-22.22873078,77.81296336
TrinPetrel_X102,15/04/2011,00:41:59,-21.97261586,78.26765802
TrinPetrel_X102,15/04/2011,12:51:59,-21.57400039,78.36610156
TrinPetrel_X102,16/04/2011,00:41:58,-21.4465614,78.80014024
TrinPetrel_X102,16/04/2011,12:21:58,-21.30522436,79.05163653
TrinPetrel_X102,17/04/2011,00:31:58,-21.498070770000002,79.05719337
TrinPetrel_X102,17/04/2011,12:41:58,-21.61632494,79.16282908
TrinPetrel_X102,18/04/2011,00:41:58,-18.96383469,80.38195792
TrinPetrel_X102,18/04/2011,12:11:58,-16.14405642,81.49672452
TrinPetrel_X102,19/04/2011,00:21:57,-13.88673446,81.43215651
TrinPetrel_X102,19/04/2011,12:21:57,-11.48104864,81.57338564
TrinPetrel_X102,20/04/2011,00:31:57,-10.39409374,81.59730851
TrinPetrel_X102,20/04/2011,12:46:57,-9.412857769,81.32090794
TrinPetrel_X102,21/04/2011,00:21:57,-8.402327923,81.36846502
TrinPetrel_X102,21/04/2011,12:41:57,-7.941286182,80.9320173
TrinPetrel_X102,22/04/2011,00:31:56,-7.191713006,79.65310124
TrinPetrel_X102,22/04/2011,12:41:56,-6.723223232,78.70722113
TrinPetrel_X102,23/04/2011,01:36:56,-6.971757264,78.12319288
TrinPetrel_X102,23/04/2011,13:11:56,-7.08490682,77.67681733
TrinPetrel_X102,24/04/2011,01:06:56,-7.255991492,77.20690187
TrinPetrel_X102,24/04/2011,12:51:55,-7.480319154,77.60967254
TrinPetrel_X102,25/04/2011,01:01:55,-7.339506602,77.4625103
TrinPetrel_X102,25/04/2011,11:11:55,-7.87441566,77.43542221
TrinPetrel_X102,26/04/2011,01:01:55,-8.000229934,77.25582488
TrinPetrel_X102,26/04/2011,12:41:55,-8.087443733,76.99331532
TrinPetrel_X102,27/04/2011,02:16:55,-8.420608387,76.53175613
TrinPetrel_X102,27/04/2011,12:26:54,-8.320523864,76.23857676
TrinPetrel_X102,28/04/2011,01:26:54,-8.537243796,75.77992382
TrinPetrel_X102,28/04/2011,13:11:54,-8.320999619,75.90579299
TrinPetrel_X102,29/04/2011,00:51:54,-8.353784083,76.37447743
TrinPetrel_X102,29/04/2011,12:41:54,-8.105943409,77.51380747
TrinPetrel_X102,30/04/2011,01:11:53,-7.573621035,77.84516738
TrinPetrel_X102,30/04/2011,12:51:53,-7.483937748,77.65247196
TrinPetrel_X102,01/05/2011,00:51:53,-7.099946531,77.47753683
TrinPetrel_X102,01/05/2011,12:56:53,-6.839609283,77.22063868
TrinPetrel_X102,02/05/2011,02:11:53,-6.908258453,76.55843548
TrinPetrel_X102,02/05/2011,13:01:53,-6.606718262,75.78949668
TrinPetrel_X102,03/05/2011,02:36:52,-6.366184978,75.0005463
TrinPetrel_X102,03/05/2011,12:36:52,-6.226446512,74.72124372
TrinPetrel_X102,04/05/2011,01:01:52,-5.658191539,73.44941143
TrinPetrel_X102,04/05/2011,13:01:52,-5.259619081,73.10061897
TrinPetrel_X102,05/05/2011,01:56:52,-4.877658529,72.02200253
TrinPetrel_X102,05/05/2011,13:11:52,-4.485679759,71.52908544
TrinPetrel_X102,06/05/2011,01:01:51,-3.803477005,70.54180564
TrinPetrel_X102,06/05/2011,12:11:51,-3.282636665,69.35308598
TrinPetrel_X102,07/05/2011,01:26:51,-3.223767578,68.17073004
TrinPetrel_X102,07/05/2011,13:16:51,-2.839782784,67.83763478
TrinPetrel_X102,08/05/2011,01:11:51,-2.096459826,66.88204379
TrinPetrel_X102,08/05/2011,13:31:50,-1.508348571,66.1714923
TrinPetrel_X102,09/05/2011,01:21:50,-0.974131185,65.04009086
TrinPetrel_X102,09/05/2011,13:26:50,-0.34336365,64.14382454
TrinPetrel_X102,10/05/2011,02:11:50,0.406525581,62.23929815
TrinPetrel_X102,10/05/2011,13:41:50,-2.224174544,62.26519697
TrinPetrel_X102,11/05/2011,01:16:50,-1.420379924,63.00011574
TrinPetrel_X102,11/05/2011,11:31:49,-1.183841804,63.1066635
TrinPetrel_X102,12/05/2011,01:31:49,-1.498082409,63.25697583
TrinPetrel_X102,12/05/2011,14:01:49,-3.734397607,63.40035769
TrinPetrel_X102,13/05/2011,01:31:49,-2.737598663,62.97852941
TrinPetrel_X102,13/05/2011,11:26:49,-2.246803312,62.91968053
TrinPetrel_X102,14/05/2011,01:26:49,-1.134514353,63.23183482
TrinPetrel_X102,14/05/2011,12:51:48,-0.575981092,62.8543149
TrinPetrel_X102,15/05/2011,01:26:48,0.216315352,63.72176523
TrinPetrel_X102,15/05/2011,14:01:48,0.861452346,63.82114473
TrinPetrel_X102,16/05/2011,01:21:48,1.442937175,64.27684381
TrinPetrel_X102,16/05/2011,13:56:48,1.980789251,64.94281802
TrinPetrel_X102,17/05/2011,01:11:47,2.148919573,65.54842631
TrinPetrel_X102,17/05/2011,13:26:47,2.652853624,65.51442249
TrinPetrel_X102,18/05/2011,01:11:47,3.650407606,65.54261976
TrinPetrel_X102,18/05/2011,14:01:47,4.077859225,65.43466691
TrinPetrel_X102,19/05/2011,01:31:47,4.521383514,65.64677981
TrinPetrel_X102,19/05/2011,13:31:47,4.912929542,65.41518568
TrinPetrel_X102,20/05/2011,01:11:46,5.124903847,65.44405735
TrinPetrel_X102,20/05/2011,14:21:46,5.427551215,65.68263568
TrinPetrel_X102,21/05/2011,01:01:46,5.615401255,66.07394144
TrinPetrel_X102,21/05/2011,13:41:46,6.047273739,66.18685463
TrinPetrel_X102,22/05/2011,01:01:46,6.344839114,66.4835733
TrinPetrel_X102,22/05/2011,14:11:46,6.645173213,66.26178797
TrinPetrel_X102,23/05/2011,01:01:45,6.870293567,66.45050288
TrinPetrel_X102,23/05/2011,14:01:45,7.051339467,66.31129695
TrinPetrel_X102,24/05/2011,01:21:45,7.08798032,66.15879431
TrinPetrel_X102,24/05/2011,14:01:45,7.345454317,66.44849199
TrinPetrel_X102,25/05/2011,02:06:45,7.86052512,66.510369
TrinPetrel_X102,25/05/2011,13:26:44,8.279075276,66.34509468
TrinPetrel_X102,26/05/2011,02:11:44,8.955237075,66.42336489
TrinPetrel_X102,26/05/2011,10:16:44,9.020494366,66.74472439
TrinPetrel_X102,26/05/2011,14:01:44,9.040064641,66.71422096
